Ticker Symbol,Security,Debt_to_Equity,Interest_Coverage
AAL,American Airlines Group,-0.8909477901590084,-2.8686708860759493
AAL,American Airlines Group,-5.62175027462468,-1.5467289719626167
AAL,American Airlines Group,7.938149430974765,4.62119503945885
AAL,American Airlines Group,3.252883762200532,6.245454545454545
ABBV,AbbVie,3.1816562778272486,20.179856115107913
ABBV,AbbVie,6.049368541905856,7.0588235294117645
ABBV,AbbVie,7.41191381495564,10.686588921282798
ABC,AmerisourceBergen Corp,6.066369125839977,3.466744928280568
ABT,Abbott Laboratories,0.6768085026757981,0.3125
ADS,Alliance Data Systems,8.909369577681192,3.3430453578535646
ADS,Alliance Data Systems,7.01446782454447,3.597093289689034
ADS,Alliance Data Systems,3.3943898713893454,4.216343090516878
ADS,Alliance Data Systems,5.042719760401586,3.82168730162576
ADSK,Autodesk Inc,0.9185601383057546,0.06018518518518518
AIV,Apartment Investment & Mgmt,0.0,0.9144886276937565
AIV,Apartment Investment & Mgmt,0.0,1.1376809760048598
AIV,Apartment Investment & Mgmt,0.0,1.2146344995497147
AIV,Apartment Investment & Mgmt,0.0,1.3198337381375667
ALLE,Allegion,56.93359375,4.956521739130435
ALLE,Allegion,12.494263018534863,5.587869362363919
AMT,American Tower Corp A,2.4329972760355782,2.745967410653156
AMT,American Tower Corp A,4.076817579258467,2.1820941051198353
AMT,American Tower Corp A,3.4508025678123007,2.4919911621862902
AMT,American Tower Corp A,2.566090005245292,2.392672862946326
AMZN,Amazon.com Inc,0.7694814263103994,0.4714285714285714
APA,Apache Corporation,0.4335505262752053,-12.312796208530806
APA,Apache Corporation,3.4204988308651596,-93.40133779264214
APC,Anadarko Petroleum Corp,0.7651204055766794,1.0699481865284974
APC,Anadarko Petroleum Corp,1.219751930727826,-10.744242424242424
APC,Anadarko Petroleum Corp,1.251310186701605,-3.302247191011236
ARNC,Arconic Inc,0.6296689143116903,1.6612244897959183
ARNC,Arconic Inc,0.7181157368073255,-3.0088300220750552
ARNC,Arconic Inc,0.750788643533123,1.497991967871486
AVB,"AvalonBay Communities, Inc.",0.7246262621374358,1.3354195426967204
AVGO,Broadcom,0.6980732585221258,-0.8923076923076924
BA,Boeing Company,11.711138310893514,19.19607843137255
BAC,Bank of America Corp,0.5047477168757069,1.3721807405126627
BHI,Baker Hughes Inc,0.2386795925880476,-11.04147465437788
BHI,Baker Hughes Inc,0.22803413400758535,-10.460674157303371
BLL,Ball Corp,2.7680782343441592,4.312569521690768
BLL,Ball Corp,2.5988077739670095,4.17519042437432
BLL,Ball Corp,2.897880166489207,5.037523452157599
BLL,Ball Corp,4.039159274354671,3.412709497206704
BSX,Boston Scientific,0.6189228529839883,-14.735632183908047
BSX,Boston Scientific,0.6479584034256003,0.3117283950617284
BSX,Boston Scientific,0.5948582933250736,-1.3564814814814814
BSX,Boston Scientific,0.8977848101265823,-1.2887323943661972
BXP,Boston Properties,1.7485295949727933,1.5860062778304986
BXP,Boston Properties,2.0068282451277644,1.5425639992839242
C,Citigroup Inc.,1.8778835116821564,1.3796332233650301
CAT,Caterpillar Inc.,1.7369262388673212,1.2752475247524753
CCI,Crown Castle International Corp.,3.716954782754277,1.1677531095893146
CCI,Crown Castle International Corp.,1.6589264437972564,1.4256923833590556
CCI,Crown Castle International Corp.,1.758059922054428,1.5844675740592473
CCI,Crown Castle International Corp.,1.7128848148477809,1.8988879361369535
CELG,Celgene Corp.,2.392532522385538,7.51481004507405
CELG,Celgene Corp.,2.0893882684527147,5.744051189762048
CFG,Citizens Financial Group,0.04891644092519275,-14.277533039647578
CHK,Chesapeake Energy,0.7808465540497141,-11.64935064935065
CHK,Chesapeake Energy,4.842843779232928,-59.246056782334385
CHTR,Charter Communications,93.91390728476821,0.942080378250591
CHTR,Charter Communications,143.06164383561645,1.0581778265642152
CHTR,Charter Communications,-776.5869565217391,0.7465543644716692
CHTR,Charter Communications,1.4878048780487805,1.3281312525010005
CL,Colgate-Palmolive,2.2503426222019187,
CL,Colgate-Palmolive,2.060303687635575,
CL,Colgate-Palmolive,4.929257641921398,
CLX,The Clorox Company,14.863013698630137,7.983606557377049
CLX,The Clorox Company,10.357142857142858,9.58252427184466
CLX,The Clorox Company,15.220338983050848,10.21
CLX,The Clorox Company,6.05050505050505,12.170454545454545
CMS,CMS Energy,2.095830920671685,2.885286783042394
CMS,CMS Energy,2.2177111716621254,2.7780487804878047
CMS,CMS Energy,2.1630269172168615,2.99
CMS,CMS Energy,2.0573712673407005,2.8772727272727274
CNP,CenterPoint Energy,2.2828662236347874,-1.4726477024070022
COG,Cabot Oil & Gas,0.8176473690375796,1.4391271938740937
COG,Cabot Oil & Gas,0.99791557584457,-0.9324225320139097
COTY,"Coty, Inc",9.020182658698838,-7.697190611664296
COTY,"Coty, Inc",-3.5172936814540177,-4.381670689192813
CPB,Campbell Soup,2.0903861955628593,8.074074074074074
CRM,Salesforce.com,0.0,-3.129313687475766
CRM,Salesforce.com,0.42847645721093564,-3.6358031886648274
CRM,Salesforce.com,0.34481230172296473,-1.909526605404372
CRM,Salesforce.com,0.25864099179890576,1.8867903704214666
CSRA,CSRA Inc.,42.83540420785177,3.788013090229079
CTL,CenturyLink Inc,1.0057545751464565,1.9476876421531464
CTL,CenturyLink Inc,1.1739282182537374,1.1725731895223421
CTL,CenturyLink Inc,1.3281634826599213,1.8466819221967963
CXO,Concho Resources,0.47996593759268025,1.4516166474761356
DE,Deere & Co.,2.1019014592140897,8.397005261027925
DE,Deere & Co.,2.6902544523646634,8.225
