Date,ARIMA_Forecast,Prophet_Forecast,Prophet_Lower_Bound,Prophet_Upper_Bound,Cost of Revenue,Research and Development,Operating Expenses,Gross Profit,Operating Income,Gross Margin,Operating Margin,COGS_Ratio,Period
2016-12-31,215639000000.0,232567931277.63,231835590699.99,233482047867.65,125070619999.99998,12938340000.0,25876680000.0,90568380000.00002,64691700000.000015,0.4200000000000001,0.30000000000000004,0.58,0
2017-03-31,215639000000.0,268111444923.92,265353176293.45,271267083623.54,125070619999.99998,12938340000.0,25876680000.0,90568380000.00002,64691700000.000015,0.4200000000000001,0.30000000000000004,0.58,1
2017-06-30,215639000000.0,278026653557.4,272166122357.84,284036883513.8,125070619999.99998,12938340000.0,25876680000.0,90568380000.00002,64691700000.000015,0.4200000000000001,0.30000000000000004,0.58,2
2017-09-30,215639000000.0,277583724689.83,268041461748.91,286776732124.07,125070619999.99998,12938340000.0,25876680000.0,90568380000.00002,64691700000.000015,0.4200000000000001,0.30000000000000004,0.58,3
